std,type,big,middle,job,sex,age,money,count,mean_money
14-Sep,내국인 관광객,제주시,연동,슈퍼 마켓,여,40대,10834650,502,21583
14-Sep,내국인 관광객,제주시,애월읍,농축수산품,남,30대,3190100,148,21555
14-Sep,내국인 관광객,서귀포시,성산읍,기념품 점,여,30대,8454600,397,21296
14-Sep,내국인 관광객,서귀포시,성산읍,기념품 점,남,20대,1172900,56,20945
14-Sep,내국인 관광객,서귀포시,성산읍,기념품 점,남,30대,9685200,464,20873
14-Sep,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,남,50대,1243050,60,20718
14-Sep,내국인 관광객,제주시,삼도2동,약국,여,40대,268940,13,20688
14-Sep,내국인 관광객,제주시,연동,스넥,남,50대,1359400,66,20597
14-Sep,내국인 관광객,제주시,용담2동,슈퍼 마켓,남,50대,2486030,121,20546
14-Sep,내국인 관광객,서귀포시,예래동,기타음료식품,여,40대,2340700,114,20532
14-Sep,내국인 관광객,제주시,삼도2동,악세 사리,여,20대,850100,42,20240
14-Sep,내국인 관광객,제주시,애월읍,스넥,남,40대,5213800,260,20053
14-Sep,내국인 관광객,제주시,이도2동,약국,남,50대,1624050,81,20050
14-Sep,내국인 관광객,제주시,애월읍,슈퍼 마켓,여,40대,4712970,236,19970
14-Sep,내국인 관광객,제주시,노형동,슈퍼 마켓,여,30대,9965950,500,19932
14-Sep,내국인 관광객,제주시,노형동,약국,남,50대,1926130,97,19857
14-Sep,내국인 관광객,서귀포시,대륜동,기타음료식품,여,40대,256500,13,19731
14-Sep,내국인 관광객,제주시,노형동,약국,여,50대,1098900,56,19623
14-Sep,내국인 관광객,제주시,연동,의원,남,30대,1094860,56,19551
14-Sep,내국인 관광객,제주시,애월읍,슈퍼 마켓,남,50대,4723820,243,19440
14-Sep,내국인 관광객,제주시,노형동,기타음료식품,여,20대,539720,28,19276
14-Sep,내국인 관광객,제주시,연동,슈퍼 마켓,남,50대,10042680,524,19165
14-Sep,내국인 관광객,제주시,애월읍,농축수산품,남,20대,456500,24,19021
14-Sep,내국인 관광객,서귀포시,예래동,스넥,남,40대,3286400,173,18997
14-Sep,내국인 관광객,제주시,노형동,슈퍼 마켓,남,40대,13962660,740,18868
14-Sep,내국인 관광객,서귀포시,성산읍,기념품 점,여,20대,2352500,125,18820
14-Sep,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,20대,4341850,231,18796
14-Sep,내국인 관광객,제주시,연동,기타음료식품,여,50대,225000,12,18750
14-Sep,내국인 관광객,제주시,애월읍,스넥,여,40대,3578900,191,18738
14-Sep,내국인 관광객,제주시,용담2동,슈퍼 마켓,여,40대,2844410,152,18713
14-Sep,내국인 관광객,서귀포시,대륜동,슈퍼 마켓,남,40대,1494090,80,18676
14-Sep,내국인 관광객,제주시,연동,기타음료식품,여,30대,428000,23,18609
14-Sep,내국인 관광객,서귀포시,예래동,슈퍼 마켓,여,50대,333950,18,18553
14-Sep,내국인 관광객,제주시,노형동,의원,남,20대,1139900,62,18385
14-Sep,내국인 관광객,제주시,애월읍,농축수산품,여,20대,1633800,89,18357
14-Sep,내국인 관광객,제주시,애월읍,약국,남,50대,257000,14,18357
14-Sep,내국인 관광객,제주시,연동,스넥,남,40대,3028800,165,18356
14-Sep,내국인 관광객,제주시,노형동,슈퍼 마켓,남,30대,11693720,638,18329
14-Sep,내국인 관광객,제주시,노형동,의원,남,40대,3039772,166,18312
14-Sep,내국인 관광객,제주시,애월읍,슈퍼 마켓,여,30대,6766880,370,18289
14-Sep,내국인 관광객,서귀포시,성산읍,기타음료식품,여,30대,928600,51,18208
14-Sep,내국인 관광객,서귀포시,예래동,기타음료식품,남,40대,2066300,114,18125
14-Sep,내국인 관광객,제주시,삼도2동,약국,남,40대,289300,16,18081
14-Sep,내국인 관광객,제주시,애월읍,슈퍼 마켓,여,50대,2002790,111,18043
14-Sep,내국인 관광객,서귀포시,예래동,슈퍼 마켓,남,50대,649280,36,18036
14-Sep,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,남,50대,6234620,346,18019
14-Sep,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,여,40대,3599150,200,17996
14-Sep,내국인 관광객,제주시,이도2동,의원,여,40대,1089900,61,17867
14-Sep,내국인 관광객,서귀포시,대륜동,기타음료식품,남,30대,517900,29,17859
14-Sep,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,남,40대,7194660,404,17809
14-Sep,내국인 관광객,제주시,용담2동,슈퍼 마켓,여,30대,2741120,155,17685
14-Sep,내국인 관광객,서귀포시,예래동,스넥,여,50대,917510,52,17644
14-Sep,내국인 관광객,제주시,애월읍,스넥,남,20대,3062700,174,17602
14-Sep,내국인 관광객,제주시,애월읍,슈퍼 마켓,여,20대,2634000,150,17560
14-Sep,내국인 관광객,제주시,연동,스넥,여,50대,1070000,61,17541
14-Sep,내국인 관광객,서귀포시,성산읍,스넥,여,40대,489900,28,17496
14-Sep,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,남,40대,1999390,115,17386
14-Sep,내국인 관광객,제주시,삼도2동,의원,여,30대,173800,10,17380
14-Sep,내국인 관광객,제주시,연동,기타음료식품,남,40대,660400,38,17379
14-Sep,내국인 관광객,제주시,용담2동,스넥,남,50대,293300,17,17253
14-Sep,내국인 관광객,서귀포시,대륜동,기타음료식품,여,30대,447900,26,17227
14-Sep,내국인 관광객,서귀포시,예래동,스넥,여,30대,3948130,233,16945
14-Sep,내국인 관광객,제주시,연동,의원,남,20대,169300,10,16930
14-Sep,내국인 관광객,서귀포시,성산읍,스넥,남,20대,673500,40,16838
