date,pm10,pm25,ozone,no2,co,so2,avg,max,min,rain
2018-02-20,80,57,0.034,0.021,0.5,0.004,8.4,11.9,4.6,0
2018-02-21,36,21,0.037,0.013,0.3,0.003,5.5,7.5,4.2,0
2018-02-22,41,25,0.04,0.016,0.3,0.004,5,7.6,3.2,0
2018-02-23,74,52,0.036,0.021,0.4,0.003,8.7,13.1,3.3,0
2018-02-24,59,40,0.041,0.021,0.4,0.004,9.4,13.3,5.3,0
2018-02-25,61,43,0.037,0.018,0.4,0.003,9.8,13.2,6.7,0
2018-02-26,46,25,0.031,0.025,0.4,0.003,8.1,11.9,4.2,0
2018-02-27,49,31,0.038,0.023,0.3,0.004,10.6,15,5.8,0
2018-02-28,27,15,0.04,0.013,0.3,0.002,11,17.5,6.9,59.6
2018-03-01,53,31,0.042,0.011,0.3,0.002,6.8,10.5,3.3,0
2018-03-02,40,21,0.034,0.02,0.3,0.003,5.7,9.1,2.8,0
2018-03-03,40,22,0.021,0.031,0.4,0.003,12,19.2,6,0
2018-03-04,21,13,0.033,0.015,0.3,0.003,17.2,23.2,10.9,0.8
2018-03-05,16,10,0.033,0.011,0.3,0.002,10.4,21.7,8.2,3.9
2018-03-06,28,12,0.041,0.009,0.2,0.002,9.6,11.3,8.2,0
2018-03-07,31,14,0.041,0.008,0.2,0.003,10,11.6,8.4,30.1
2018-03-08,32,20,0.041,0.01,0.3,0.003,6.8,8.6,5.1,18.2
2018-03-09,54,37,0.044,0.015,0.4,0.003,5.6,7.8,4.2,0
2018-03-10,33,20,0.039,0.013,0.3,0.003,8.1,11.5,4.3,0
2018-03-11,67,48,0.046,0.019,0.4,0.004,8.7,12.1,5.1,0
2018-03-12,76,48,0.037,0.032,0.4,0.005,11.2,15.3,7,0
2018-03-13,31,17,0.03,0.028,0.3,0.004,14.7,19.2,9.6,0
2018-03-14,37,17,0.025,0.029,0.3,0.006,16.9,20.3,12.5,0
2018-03-15,20,13,0.029,0.015,0.2,0.003,17.1,21.7,12,16
2018-03-16,37,20,0.039,0.01,0.3,0.002,9.5,12.1,8.8,1.9
2018-03-17,25,13,0.043,0.006,0.1,0.002,10,13.8,7.3,0
2018-03-18,25,13,0.032,0.017,0.2,0.003,15.2,22.3,7.8,3.1
2018-03-19,21,15,0.03,0.016,0.3,0.002,12.6,16.2,10.1,8.7
2018-03-20,32,14,0.044,0.005,0.1,0.002,8.3,10.2,6.5,14.1
2018-03-21,10,4,0.037,0.01,0.1,0.002,5.4,6.6,4.2,21.2
2018-03-22,20,12,0.037,0.012,0.2,0.002,7.3,10.4,5.3,0
2018-03-23,34,24,0.039,0.017,0.2,0.003,8.6,11.9,4.6,0
2018-03-24,103,73,0.054,0.023,0.5,0.004,12.2,16.5,7.7,0
2018-03-25,90,58,0.052,0.02,0.4,0.003,13.2,16.9,9.6,0
2018-03-26,81,56,0.048,0.024,0.4,0.003,13.7,17,9.7,0
2018-03-27,65,38,0.044,0.023,0.4,0.003,14.8,19.1,10.3,0
2018-03-28,55,35,0.039,0.021,0.3,0.004,15.1,19.1,9.5,0
2018-03-29,38,27,0.029,0.021,0.3,0.004,15.6,19.3,12,0
2018-03-30,50,25,0.043,0.007,0.2,0.003,15.5,18.9,13.5,0
2018-03-31,61,26,0.043,0.015,0.3,0.004,17,21,13.3,0
2018-04-01,103,39,0.047,0.011,0.3,0.004,18,21.3,15.2,0
2018-04-02,41,21,0.031,0.016,0.3,0.005,18,21.3,15.3,0
2018-04-03,38,21,0.026,0.017,0.3,0.005,17.7,21.5,15.3,0
2018-04-04,31,17,0.024,0.013,0.2,0.004,17.6,20.6,15.8,0.2
2018-04-05,13,9,0.034,0.007,0.3,0.002,17.9,21.3,14.4,0
2018-04-06,79,26,0.042,0.005,0.3,0.002,11,18.2,8.1,20
2018-04-07,57,28,0.048,0.004,0.3,0.002,7.8,9.8,5.3,0
2018-04-08,56,20,0.056,0.004,0.3,0.003,12.5,16.4,7,0
2018-04-09,69,31,0.048,0.017,0.4,0.005,14.3,16.3,12.6,0
2018-04-10,44,17,0.037,0.013,0.3,0.003,18.8,22.3,12.5,0
2018-04-11,65,32,0.013,0.016,0.4,0.004,17.2,21.2,13.6,0
2018-04-12,33,14,0.007,0.016,0.3,0.003,17,23.5,13.1,0
2018-04-13,45,14,0.054,0.005,0.3,0.002,16.4,19.5,14.3,0
